placemark_id,name,address,lat,lng
81535,POS POLISI MONAS TIMUR,SILANG MERDEKA TENGGARA JAKARTA PUSAT DKI JAKARTA,-6.17841,106.830673
81547,POS POLISI PALMERAH,GELORA 1 JAKARTA PUSAT DKI JAKARTA,-6.20953,106.796829
81560,POS POLISI PASAR KEBAYORAN LAMA,CIPUTAT RAYA JAKARTA SELATAN DKI JAKARTA,-6.23768,106.780762
81562,POS POLISI PASAR SENEN,STASIUN SENEN JAKARTA PUSAT DKI JAKARTA,-6.17249,106.843201
81565,POS POLISI PECENONGAN,KIAI HAJI SAMANHUDI JAKARTA PUSAT DKI JAKARTA,-6.16256,106.828438
81567,POS POLISI PEJAGALAN,PEJAGALAN JAKARTA BARAT DKI JAKARTA,-6.13612,106.807022
81568,POS POLISI PEJATEN TIMUR,PASAR MINGGU RAYA JAKARTA SELATAN DKI JAKARTA,-6.28152,106.845032
81569,POS POLISI PEJOMPONGAN,PEJOMPONGAN JAKARTA PUSAT DKI JAKARTA,-6.20425,106.801491
81576,POS POLISI PERTIGAAN CAKUNG,CILINCING JAKARTA UTARA DKI JAKARTA,-6.1081,106.922432
81582,POS POLISI PIK (PANTAI INDAH KAPUK),PANTAI INDAH TIMUR JAKARTA UTARA DKI JAKARTA,-6.12913,106.753761
81587,POS POLISI PJR TOL SEDYATMO,TOLL PROFESOR SEDYATMO JAKARTA BARAT DKI JAKARTA,-6.10617,106.695229
81590,POS POLISI PLUIT TIMUR,PLUIT TIMUR RAYA JAKARTA UTARA DKI JAKARTA,-6.11235,106.794899
81591,POS POLISI PLUMPANG,PLUMPANG RAYA JAKARTA UTARA DKI JAKARTA,-6.1302,106.898109
81592,POS POLISI PODOMORO,DANAU SUNTER SELATAN JAKARTA UTARA DKI JAKARTA,-6.14882,106.859467
81596,POS POLISI PONDOK INDAH,METRO PONDOK INDAH JAKARTA SELATAN DKI JAKARTA,-6.27339,106.782257
81598,POS POLISI PONDOK KOPI,PONDOK KOPI JAKARTA TIMUR DKI JAKARTA,-6.22071,106.940971
81599,POS POLISI PONDOK RANGGON,SAPI PERAH JAKARTA TIMUR DKI JAKARTA,-6.35602,106.906029
81602,POS POLISI PRAMUKA,PEMUDA JAKARTA TIMUR DKI JAKARTA,-6.19247,106.875031
81604,POS POLISI PULAU UNTUNG JAWA,PULAU UNTUNG JAWA KEPULAUAN SERIBU DKI JAKARTA,-5.97794,106.705002
81608,POS POLISI RAJAWALI,INDUSTRI JAKARTA PUSAT DKI JAKARTA,-6.14878,106.838501
81610,POS POLISI RAWABENING,BEKASI BARAT RAYA JAKARTA TIMUR DKI JAKARTA,-6.2156,106.869911
81621,POS POLISI SARINAH,SUNDA JAKARTA PUSAT DKI JAKARTA,-6.18835,106.824272
81630,POS POLISI SENEN,KRAMAT BUNDER JAKARTA PUSAT DKI JAKARTA,-6.17869,106.84243
81647,POS POLISI SUBSEKTOR PERMAI,BINTARO PERMAI JAKARTA SELATAN DKI JAKARTA,-6.25601,106.760849
81650,POS POLISI SUMUR BATU,LETNAN JENDERAL SUPRAPTO JAKARTA PUSAT DKI JAKARTA,-6.16803,106.871178
81658,POS POLISI TAMAN SUROPATI,PANGERAN DIPONEGORO JAKARTA PUSAT DKI JAKARTA,-6.2,106.832901
81679,POS POLISI TMP KALIBATA,PAHLAWAN KALIBATA JAKARTA SELATAN DKI JAKARTA,-6.25545,106.845192
81694,POS POLISI VOLKER,R.E. MARTADINATA JAKARTA UTARA DKI JAKARTA,-6.11876,106.867882
