id,name,geonamesId,place,pointLat,pointLon,kemendagriCode,stateId,stateName,stateIso,countryId,countryIso
Q5787,Sabang,1214026,CITY,5.893055555,95.32,11.72,Q1823,Aceh,ID-AC,Q252,ID
Q14148,Sabu Raijua,,TOWN,,,53.20,Q5061,Nusa Tenggara Timur,ID-NT,Q252,ID
Q11021,Salatiga,1972989,CITY,-7.338888888,110.502222222,33.73,Q3557,Jawa Tengah,ID-JT,Q252,ID
Q14499,Samarinda,1629001,CITY,-0.502222222,117.153611111,64.72,Q3899,Kalimantan Timur,ID-KI,Q252,ID
Q14164,Sambas,,TOWN,,,61.01,Q3916,Kalimantan Barat,ID-KB,Q252,ID
Q5888,Samosir,,TOWN,,,12.17,Q2140,Sumatera Utara,ID-SU,Q252,ID
Q11127,Sampang,,TOWN,,,35.27,Q3586,Jawa Timur,ID-JI,Q252,ID
Q14165,Sanggau,,TOWN,0.119444444,110.588888888,61.03,Q3916,Kalimantan Barat,ID-KB,Q252,ID
Q15839,Sangihe,,TOWN,3.0,125.5,71.03,Q5068,Sulawesi Utara,ID-SA,Q252,ID
Q27784,Sarmi,,TOWN,,,91.10,Q5095,Papua,ID-PA,Q252,ID
Q7383,Sarolangun,,TOWN,,,15.03,Q2051,Jambi,ID-JA,Q252,ID
Q7263,Sawahlunto,1628472,CITY,-0.682777777,100.778333333,13.73,Q2772,Sumatera Barat,ID-SB,Q252,ID
Q14166,Sekadau,,TOWN,,,61.09,Q3916,Kalimantan Barat,ID-KB,Q252,ID
Q8037,Seluma,,TOWN,,,17.05,Q1890,Bengkulu,ID-BE,Q252,ID
Q11025,Semarang,1627896,CITY,-6.966666666,110.416666666,33.74,Q3557,Jawa Tengah,ID-JT,Q252,ID
Q10687,Semarang,6410701,TOWN,-7.265555555,110.335833333,33.22,Q3557,Jawa Tengah,ID-JT,Q252,ID
Q18942,Seram Bagian Barat,,TOWN,,,81.06,Q5093,Maluku,ID-MA,Q252,ID
Q16569,Seram Bagian Timur,,TOWN,,,81.05,Q5093,Maluku,ID-MA,Q252,ID
Q10122,Serang,,TOWN,-6.12,106.150277777,36.04,Q3540,Banten,ID-BT,Q252,ID
Q10126,Serang,1627549,CITY,-6.12,106.150277777,36.73,Q3540,Banten,ID-BT,Q252,ID
Q5899,Serdang Bedagai,,TOWN,,,12.18,Q2140,Sumatera Utara,ID-SU,Q252,ID
Q14389,Seruyan,,TOWN,,,62.07,Q3891,Kalimantan Tengah,ID-KT,Q252,ID
Q7777,Siak,,TOWN,1.275,100.905833333,14.08,Q2175,Riau,ID-RI,Q252,ID
Q5984,Sibolga,1213855,CITY,1.7425,98.779166666,12.73,Q2140,Sumatera Utara,ID-SU,Q252,ID
Q11214749,Sidenreng Rappang,1627258,TOWN,-3.92694,119.796,73.14,Q5078,Sulawesi Selatan,ID-SN,Q252,ID
Q11129,Sidoarjo,1627253,TOWN,-7.453028,112.717333,35.15,Q3586,Jawa Timur,ID-JI,Q252,ID
Q15822,Sigi,9781856,TOWN,-1.385,119.967,72.10,Q5065,Sulawesi Tengah,ID-ST,Q252,ID
Q6055,Sijunjung,,TOWN,-0.55,101.117,13.03,Q2772,Sumatera Barat,ID-SB,Q252,ID
Q14150,Sikka,1627182,TOWN,-8.488330555,122.974,53.07,Q5061,Nusa Tenggara Timur,ID-NT,Q252,ID
Q5903,Simalungun,,TOWN,,,12.08,Q2140,Sumatera Utara,ID-SU,Q252,ID
Q5757,Simeulue,1213749,TOWN,2.583333333,96.083333333,11.09,Q1823,Aceh,ID-AC,Q252,ID
Q14169,Singkawang,1626916,CITY,0.9,108.983333333,61.72,Q3916,Kalimantan Barat,ID-KB,Q252,ID
Q14622,Sinjai,,TOWN,-5.1993,120.1544,73.07,Q5078,Sulawesi Selatan,ID-SN,Q252,ID
Q14167,Sintang,,TOWN,0.06805556,111.49805556,61.05,Q3916,Kalimantan Barat,ID-KB,Q252,ID
Q11134,Situbondo,1626801,TOWN,-7.7,114.0,35.12,Q3586,Jawa Timur,ID-JI,Q252,ID
Q11480,Sleman,,TOWN,-7.580833333,107.250833333,34.04,Q3741,Yogyakarta,ID-YO,Q252,ID
Q6058,Solok,,TOWN,-1.766669444,101.367,13.02,Q2772,Sumatera Barat,ID-SB,Q252,ID
Q7266,Solok,1626649,CITY,-0.788333333,100.654166666,13.72,Q2772,Sumatera Barat,ID-SB,Q252,ID
Q6083,Solok Selatan,,TOWN,-1.233330555,101.417,13.11,Q2772,Sumatera Barat,ID-SB,Q252,ID
Q14629,Soppeng,7063566,TOWN,-4.34861111,119.8825,73.12,Q5078,Sulawesi Selatan,ID-SN,Q252,ID
Q26837,Sorong,1626542,CITY,-0.866666666,131.25,92.71,Q5096,Papua Barat,ID-PB,Q252,ID
Q26792,Sorong,1626541,TOWN,-0.88305556,131.25,92.01,Q5096,Papua Barat,ID-PB,Q252,ID
Q26802,Sorong Selatan,,TOWN,,,92.04,Q5096,Papua Barat,ID-PB,Q252,ID
Q10688,Sragen,,TOWN,,,33.14,Q3557,Jawa Tengah,ID-JT,Q252,ID
Q10380,Subang,6581948,TOWN,-6.016666666,107.516666666,32.13,Q3724,Jawa Barat,ID-JB,Q252,ID
Q5789,Subulussalam,8572074,CITY,2.642222222,98.004166666,11.75,Q1823,Aceh,ID-AC,Q252,ID
Q10381,Sukabumi,,TOWN,-6.91972,106.927,32.02,Q3724,Jawa Barat,ID-JB,Q252,ID
Q10397,Sukabumi,1626381,CITY,-6.919722222,106.927222222,32.72,Q3724,Jawa Barat,ID-JB,Q252,ID
Q14386,Sukamara,,TOWN,,,62.08,Q3891,Kalimantan Tengah,ID-KT,Q252,ID
Q10692,Sukoharjo,,TOWN,,,33.11,Q3557,Jawa Tengah,ID-JT,Q252,ID
Q14154,Sumba Barat,,TOWN,,,53.12,Q5061,Nusa Tenggara Timur,ID-NT,Q252,ID
Q14152,Sumba Barat Daya,,TOWN,,,53.18,Q5061,Nusa Tenggara Timur,ID-NT,Q252,ID
Q14134,Sumba Tengah,,TOWN,,,53.17,Q5061,Nusa Tenggara Timur,ID-NT,Q252,ID
Q14139,Sumba Timur,,TOWN,,,53.11,Q5061,Nusa Tenggara Timur,ID-NT,Q252,ID
Q14122,Sumbawa,8594735,TOWN,-8.65,116.533,52.04,Q5062,Nusa Tenggara Barat,ID-NB,Q252,ID
Q14124,Sumbawa Barat,6984549,TOWN,-8.78737,116.926,52.07,Q5062,Nusa Tenggara Barat,ID-NB,Q252,ID
Q10382,Sumedang,,TOWN,-6.85,107.916666666,32.11,Q3724,Jawa Barat,ID-JB,Q252,ID
Q11137,Sumenep,1626099,TOWN,-7.016666666,113.866666666,35.29,Q3586,Jawa Timur,ID-JI,Q252,ID
Q7592,Sungai Penuh,1625929,CITY,-2.063611111,101.396111111,15.72,Q2051,Jambi,ID-JA,Q252,ID
Q27793,Supiori,1625830,TOWN,-0.733333,135.583,91.19,Q5095,Papua,ID-PA,Q252,ID
Q11462,Surabaya,1625822,CITY,-7.233333333,112.733333333,35.78,Q3586,Jawa Timur,ID-JI,Q252,ID
Q4803,Surakarta,1625812,CITY,-7.566666666,110.816666666,33.72,Q3557,Jawa Tengah,ID-JT,Q252,ID
Q14177,Tabalong,,TOWN,,,63.09,Q3906,Kalimantan Selatan,ID-KS,Q252,ID
Q11505,Tabanan,,TOWN,-8.551147222,115.121613888,51.02,Q3125978,Bali,ID-BA,Q252,ID
Q14630,Takalar,1625545,TOWN,-5.41666667,119.58333333,73.05,Q5078,Sulawesi Selatan,ID-SN,Q252,ID
Q15844,Talaud,,TOWN,4.09238333,126.76848611,71.04,Q5068,Sulawesi Utara,ID-SA,Q252,ID
Q26810,Tambrauw,,TOWN,,,92.09,Q5096,Papua Barat,ID-PB,Q252,ID
Q14487,Tana Tidung,8613361,TOWN,,,65.04,Q3903,Kalimantan Utara,ID-KU,Q252,ID
Q14632,Tana Toraja,1625123,TOWN,-3.16666667,119.75,73.18,Q5078,Sulawesi Selatan,ID-SN,Q252,ID
Q14179,Tanah Bumbu,,TOWN,,,63.10,Q3906,Kalimantan Selatan,ID-KS,Q252,ID
Q6093,Tanah Datar,,TOWN,-0.45,100.583,13.04,Q2772,Sumatera Barat,ID-SB,Q252,ID
Q14178,Tanah Laut,,TOWN,,,63.01,Q3906,Kalimantan Selatan,ID-KS,Q252,ID
Q10123,Tangerang,,TOWN,-6.26667,106.467,36.03,Q3540,Banten,ID-BT,Q252,ID
Q10127,Tangerang,1625084,CITY,-6.178333333,106.631944444,36.71,Q3540,Banten,ID-BT,Q252,ID
Q10128,Tangerang Selatan,8581443,CITY,-6.288888888,106.718055555,36.74,Q3540,Banten,ID-BT,Q252,ID
Q8149,Tanggamus,,TOWN,,,18.06,Q2110,Lampung,ID-LA,Q252,ID
Q5987,Tanjung Balai,1213546,CITY,2.97,99.8,12.74,Q2140,Sumatera Utara,ID-SU,Q252,ID
Q7388,Tanjung Jabung Barat,,TOWN,-1.05,102.933,15.06,Q2051,Jambi,ID-JA,Q252,ID
Q7384,Tanjung Jabung Timur,,TOWN,-1.1,104.0,15.07,Q2051,Jambi,ID-JA,Q252,ID
Q10104,Tanjung Pinang,1624863,CITY,1.083333333,104.483333333,21.72,Q2223,Kepulauan Riau,ID-KR,Q252,ID
Q5914,Tapanuli Selatan,,TOWN,,,12.03,Q2140,Sumatera Utara,ID-SU,Q252,ID
Q5800,Tapanuli Tengah,,TOWN,,,12.01,Q2140,Sumatera Utara,ID-SU,Q252,ID
Q5863,Tapanuli Utara,,TOWN,,,12.02,Q2140,Sumatera Utara,ID-SU,Q252,ID
Q14180,Tapin,,TOWN,,,63.05,Q3906,Kalimantan Selatan,ID-KS,Q252,ID
Q14501,Tarakan,1624725,CITY,3.3,117.633333333,65.71,Q3903,Kalimantan Utara,ID-KU,Q252,ID
Q10385,Tasikmalaya,,TOWN,-7.33333,108.2,32.06,Q3724,Jawa Barat,ID-JB,Q252,ID
