id,name,geonamesId,geonamesName,lat,lon
Q10099,Lingga,8739779,Kabupaten Lingga,0.2,104.61667
Q14604,Luwu,6965895,Kabupaten Luwu,-2.5577,121.3242
Q14597,Luwu Timur,9165704,Kabupaten Luwu Timur,-2.50957,120.3978
Q14606,Luwu Utara,9165788,Kabupaten Luwu Utara,-2.6,120.25
Q11091,Madiun,1636929,Kabupaten Madiun,-7.61667,111.65
Q10621,Magelang,6199035,Kabupaten Magelang,-7.4275,110.16194
Q10377,Majalengka,1636815,Kabupaten Majalengka,-6.81667,108.28333
Q4069046,Malaka,9846667,Malaka Regency,-9.5632,124.89481
Q11095,Malang,1636722,Malang,-7.9797,112.6304
Q14476,Malinau,8613353,Kabupaten Malinau,2.45,115.68333
Q18935,Maluku Barat Daya,9828043,Southwest Maluku Regency,-7.8296,126.17386
Q18849,Maluku Tenggara,1636625,Kabupaten Maluku Tenggara,-5.75,132.73333
Q15347,Mamasa,7910939,Kabupaten Mamasa,-2.96492,119.30631
Q27668,Mamberamo Raya,9828781,Mamberamo Raya Regency,-2.23561,137.78229
Q27316,Mamberamo Tengah,9828820,Central Mamberamo Regency,-2.46064,138.45245
Q12488349,Mamuju Tengah,9827966,Mamuju Regency,-2.8212,119.2662
Q15350,Mamuju Utara,9828890,North Mamuju Regency,-1.51639,119.42139
Q5837,Mandailing Natal,9161518,Kabupaten Mandailing Natal,0.78378,99.25495
Q14143,Manggarai,1636422,Kabupaten Manggarai,-8.56667,120.41667
Q14153,Manggarai Barat,9165681,Kabupaten Manggarai Barat,-8.64484,119.88281
Q14137,Manggarai Timur,9828927,East Manggarai Regency,-8.55533,120.59761
Q26748,Manokwari,1636308,Manokwari,-0.86291,134.06402
Q12488351,Manokwari Selatan,9827967,South Manokwari Regency,-1.0798,133.96729
Q27679,Mappi,9165710,Kabupaten Mappi,-6.49971,139.34441
Q14611,Maros,1636028,Kabupaten Maros,-5.05,119.71667
Q26759,Maybrat,9828956,Maybrat Regency,-1.2155,132.35092
Q14162,Melawi,9828958,Melawi Regency,-0.33617,111.698
Q14163,Mempawah,1630788,Kabupaten Mempawah,0.25,109.16667
Q7379,Merangin,9828959,Merangin Regency,-2.06933,102.13303
Q27693,Merauke,1635387,Kabupaten Merauke,-7.66667,139.66667
Q8139,Mesuji,8552411,Mesuji Regency,-4.0439,105.4013
Q27700,Mimika,9172049,Kabupaten Mimika,-4.54357,136.56555
Q15836,Minahasa,6755517,Kabupaten Minahasa,1.2537,124.83
Q15842,Minahasa Selatan,6698251,Kabupaten Minahasa Selatan,1.21291,124.59708
Q15843,Minahasa Tenggara,9828962,Southeast Minahasa Regency,1.05633,124.7925
Q15838,Minahasa Utara,9165868,Kabupaten Minahasa Utara,1.4025,124.96
Q11096,Mojokerto,1635110,Kabupaten Mojokerto,-7.55,112.5
Q15815,Morowali,9165694,Kabupaten Morowali,-1.89342,121.25473
Q12488353,Morowali Utara,9827971,North Morowali Regency,-1.7207,121.24649
Q8119,Muara Enim,8521769,Kabupaten Muara Enim,-4.2327,103.6141
Q7381,Muaro Jambi,9782270,Kabupaten Muaro Jambi,-1.55214,103.82163
Q15363,Muna,10929337,Kabupaten Muna Barat,-4.83333,122.48333
Q19746428,Muna Barat,10929337,Kabupaten Muna Barat,-4.83333,122.48333
Q8120,Musi Banyuasin,1634644,Kabupaten Musi Banyuasin,-2.41667,103.75
Q8121,Musi Rawas,1634643,Kabupaten Musi Rawas,-3.08333,103.2
Q18511812,Musi Rawas Utara,9827972,North Musi Rawas Regency,-2.48533,103.29346
Q27708,Nabire,7910937,Kabupaten Nabire,-3.54016,135.55511
Q5746,Nagan Raya,6703019,Kabupaten Nagan Raya,4.16667,96.51667
Q14144,Nagekeo,9828965,Nagekeo Regency,-8.8721,121.20963
Q27724,Nduga,9828977,Nduga Regency,-4.45093,138.10089
Q14145,Ngada,1634193,Kabupaten Ngada,-8.66667,121
Q11108,Ngawi,6410477,Kabupaten Ngawi,-7.47444,111.33444
Q5841,Nias,8224057,Kabupaten Nias Selatan,0.77,97.75
Q5909,Nias Barat,9828978,West Nias Regency,1.05966,97.58606
Q5918,Nias Selatan,8224057,Kabupaten Nias Selatan,0.77,97.75
Q5853,Nias Utara,9843567,North Nias Regency,1.33037,97.31964
Q14481,Nunukan,8613360,Kabupaten Nunukan,4.13333,116.7
Q8122,Ogan Ilir,9163311,Kabupaten Ogan Ilir,-3.43186,104.62727
Q8125,Ogan Komering Ilir,1633659,Kabupaten Ogan Komering Ilir,-3.36667,105.36667
Q8126,Ogan Komering Ulu,1633658,Kabupaten Ogan Komering Ulu,-4.13333,104.03333
Q8127,Ogan Komering Ulu Selatan,9165989,Kabupaten Ogan Komering Ulu Selatan,-4.65728,104.00659
Q8110,Ogan Komering Ulu Timur,9166051,Kabupaten Ogan Komering Ulu Timur,-3.85679,104.75209
Q11111,Pacitan,1633438,Kabupaten Pacitan,-8.13333,111.16667
Q5866,Padang Lawas,9821912,Padang Lawas Regency,1.44684,99.99207
Q5857,Padang Lawas Utara,9821910,North Padang Lawas Regency,1.46011,99.67346
Q6042,Padang Pariaman,1633373,Kabupaten Padang Pariaman,-0.6,100.28333
Q5872,Pakpak Bharat,6725176,Kabupaten Pakpak Bharat,2.56667,98.28333
Q46483,Pangandaran,9827974,Pangandaran Regency,-7.6673,108.64037
Q27738,Paniai,1632622,Kabupaten Paniai,-3.9,136.6
Q15816,Parigi Moutong,9165690,Kabupaten Parigi Moutong,0.3368,120.17841
Q6048,Pasaman,9163115,Kabupaten Pasaman,0.42503,99.94606
Q6103,Pasaman Barat,9163116,Kabupaten Pasaman Barat,0.28152,99.51965
Q14485,Paser,9165729,Kabupaten Penajam Paser Utara,-1.25,116.83333
